name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2022-03-04,33,24,28,39.3,24,30.6,23.8,79.7,0,0,0,rain,0,0,18,27.7,287.8,1007.8,53.9,13.6,239.5,18.9,10,30,2022-03-04T06:15:11,2022-03-04T18:30:40,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-05,32,24,27.4,38,24,29.7,24.4,85.2,0,0,0,rain,0,0,12.6,27.7,283.7,1006.6,60.8,12.7,206.2,16.3,9,30,2022-03-05T06:15:13,2022-03-05T18:30:11,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2022-03-06,33,24,27.6,40.2,24,30.1,24.1,82.4,7.2,100,8.33,rain,0,0,11.5,18.4,64.2,1006.7,76.5,14.9,175.6,13.9,8,30,2022-03-06T06:15:15,2022-03-06T18:29:42,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-07,32.2,24,28.1,39.5,24,32,24.6,82.4,0.6,100,4.17,rain,0,0,27.7,27.7,300.2,1006.9,69.4,12.1,244.1,19.3,9,30,2022-03-07T06:15:17,2022-03-07T18:29:12,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-08,32,24,27.7,39.3,24,30.8,24.3,82.6,7,100,8.33,rain,0,0,9.7,27.7,269,1007.2,59.7,13.3,279.9,24.2,9,30,2022-03-08T06:15:18,2022-03-08T18:28:42,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-09,33,24,27,39.3,24,29.3,24.1,85,4,100,8.33,rain,0,0,11.9,24.1,249.8,1008,64.7,14.4,267.4,23.1,9,30,2022-03-09T06:15:19,2022-03-09T18:28:11,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-10,32,23,26.5,40.7,23,28.7,24.2,88,2,100,4.17,rain,0,0,18.4,27.7,259.9,1007.6,65.5,11.5,229.8,19.8,9,30,2022-03-10T06:15:20,2022-03-10T18:27:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,AYPY"
Papua New Guinea,2022-03-11,32,23,26.5,39.6,23,28.5,24.1,87.5,2,100,4.17,rain,0,0,27.7,27.7,312,1006.9,76.9,14.4,196.4,17,7,30,2022-03-11T06:15:20,2022-03-11T18:27:08,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-12,32,23.9,26.1,40.7,23.9,28,24.2,89.9,16,100,12.5,rain,0,0,12.2,18.4,326.5,1007.4,80,14.9,243,21,8,30,2022-03-12T06:15:20,2022-03-12T18:26:37,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-13,32,22,27.3,40.7,22,30.7,24.1,83.6,2,100,4.17,rain,0,0,17.3,18.4,198.4,1007,44,14.2,287.9,24.7,10,60,2022-03-13T06:15:20,2022-03-13T18:26:05,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-14,33,25,28.4,42.2,25,32,24.9,82.5,0.2,100,4.17,rain,0,0,14,27.7,220.4,1005.5,49.2,14.1,297,25.7,10,60,2022-03-14T06:15:19,2022-03-14T18:25:32,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-15,31,22,27,37.8,22,29.6,24.4,85.7,0,0,0,rain,0,0,37.1,27.7,323.8,1006.4,71.2,13.2,256.8,22,8,60,2022-03-15T06:15:18,2022-03-15T18:25:00,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,AYPY"
Papua New Guinea,2022-03-16,32,24,27.7,39.3,24,31.1,24.3,82.8,0.3,100,4.17,rain,0,0,10.1,27.7,210.4,1006.8,67.5,14.1,270.6,23.5,9,30,2022-03-16T06:15:17,2022-03-16T18:24:27,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-17,33,24.9,28.1,40.7,24.9,31.9,24.8,83.1,0,0,0,,0,0,15.1,27.7,172.5,1005.8,60.8,15.2,301.6,26,10,30,2022-03-17T06:15:16,2022-03-17T18:23:54,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-03-18,33,24,28.1,40.7,24,31.9,24.8,83.7,0,0,0,rain,0,0,16.9,22.3,321.7,1005.5,62.2,13.8,292.4,25.4,10,60,2022-03-18T06:15:15,2022-03-18T18:23:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
